name,category,address,locality,pincode,lat,lng,phone,email,website,google_rating,review_count,first_review_year,size_proxy,owner_or_chain,standalone_building,amenity_power_backup,maintenance_rate,outage_keyword_hits,outage_quotes,solar_visible,fm_company,rera_id,source_urls,corridor,icp,score,tier
Dhansri Motors (Hero MotoCorp),two_wheeler_dealership_showroom,"H-206A, Sector 63, Near Ginger Hotel, Noida, Uttar Pradesh 201301",Sector 63,201301,,,9289923044,,https://dealers.heromotocorp.com/dhansri-motors-hero-motocorp-two-wheeler-dealer-sector-63-noida-25876/Home,3.7,580,,Hero MotoCorp two-wheeler showroom + workshop,owner,y,,,0,,,,,https://dealers.heromotocorp.com/dhansri-motors-hero-motocorp-two-wheeler-dealer-sector-63-noida-25876/Home | https://www.justdial.com/Delhi/Dhansri-Hero--Sector-63/011PXX11-XX11-180207111425-M1J3_BZDET/reviews | https://dealers.heromotocorp.com/locator/noida/sector-63/dhansri-motors-hero-motocorp-in-sector-63-noida--ACntWD/reviews,noida,commercial,82,A
Hero Moto (Bhangel),two_wheeler_dealership_showroom,"Bhangel Village, Sector 102, Dadri Road, Bhangel, Noida, Uttar Pradesh 201304",Bhangel (Sector 102-106 belt),201304,,,08047281629,,,3.6,209,,Hero MotoCorp two-wheeler showroom + workshop,owner,y,,,0,,,,,https://www.justdial.com/Noida/Hero-Moto-Bhangel/011PXX11-XX11-180421092221-C4C5_BZDET,noida,commercial,82,A
Hero MotoCorp Showroom - Gaur City,two_wheeler_dealership_showroom,"Main Taj Highway, Near Tigri Gol Chakkar, Village Tigri, Opposite Sai Mandir, Gaur City, Noida Extension","Gaur City, Noida Extension",201301,,,,,,,,,,owner,,,,,[],,,,https://www.bikewale.com/dealer-showrooms/hero/noida/,gn_west,commercial,82,A
Honda Showroom & Service Centre (Vipul Trade Centre) - Sohna Road [brand: Honda],car_dealership,"01A, Ground Floor, Vipul Trade Centre, Sohna Road, Sector 48, Gurgaon, Haryana 122002","Sohna Road, Sector 48",122002,,,,,,,,,,owner,,,,,[],,,,https://www.cardekho.com/Honda/Gurgaon/car-service-center.htm,gurgaon,commercial,82,A
Honda Two Wheelers Showroom - Islampur [brand: Honda],two_wheeler_dealership,"Vill. Islampur, Near Subhash Chowk, Sohna Road, Gurgaon, Haryana 122001","Sohna Road, Islampur",122001,,,,,,,,,,owner,,,,,[],,,,https://www.prokerala.com/bikes/honda/dealers/in-gurgaon.html,gurgaon,commercial,82,A
Honda Two-Wheeler Showroom - Gaur City,two_wheeler_dealership_showroom,"Shop No.8, Som Tower, Taj Highway, Near Tigri Gol Chakkar, Opp Sai Mandir, Gaur City, Noida Extension","Gaur City, Noida Extension",201306,,,,,,,,,,owner,,,,,[],,,,https://www.bikewale.com/dealer-showrooms/honda/noida/,gn_west,commercial,82,A
Hyundai Service Center (D.S. Automobiles),car_service_workshop,"D-48, Sector 63, Near J.M.A. Manufacturing Limited, Noida, Uttar Pradesh 201301",Sector 63,201301,,,,,https://dshyundai.co.in/,,,,Hyundai authorised service center,owner,,,,0,,,,,https://www.wheels97.com/car-brands/hyundai-cars/dealers/ds-automobiles-pvt-ltd-noida | https://dshyundai.co.in/,noida,commercial,82,A
Hyundai Showroom - Sector 19 (Vardhaman Star Shop Mall),car dealership & service workshop,"Ground Floor, Vardhaman Star Shop Mall, G40-40B, near Badkal Mor Metro Station, Sector 19, Faridabad, Haryana 121002","Sector 19, Faridabad",121002,,,,,,,,,,owner,,,,,,,,,https://www.carwale.com/dealer-showrooms/hyundai/faridabad/,faridabad,commercial,82,A
Iris Broadway,electronics showroom / mobile phone dealer,"Sohna Road, Gurgaon","Sohna Road, Gurgaon",,,,,,,,,,,owner,,,,,,,,,https://www.justdial.com/Gurgaon/Electronic-Goods-Showrooms-in-Sohna-Road/nct-10185144,gurgaon,commercial,82,A
Kay Dee Bajaj,two_wheeler_dealership_showroom,"H-14, Sector 63 Road, H Block, Sector 62, Noida, Uttar Pradesh 201301",Sector 62,201301,,,8750044099,hi@kaydeeauto.in,https://kaydeeauto.in/,4.4,2573,,"Authorised Bajaj two-wheeler + Chetak electric scooter showroom, sales/service/parts",owner,y,,,0,,,,,https://www.justdial.com/Delhi/Kay-Dee-Bajaj-Near-Electronic-City-Metro-Station-Noida-Sector-63/011PXX11-XX11-190629113940-V4J6_BZDET | https://kaydeeauto.in/pages/bajaj-dealer-showroom-noida | https://kaydeeauto.in/pages/contact | https://kaydeeauto.in/,noida,commercial,82,A
Koncept Automobiles (Mahindra),car_dealership_showroom,"H-224K, Near Indian Oil Petrol Pump, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,0120-4544358,adb63@konceptmahindra.com,http://www.konceptmahindra.com/,4.5,2375,,Mahindra SUV & Commercial Vehicle showroom + workshop,owner,y,,,0,,,,,https://www.justdial.com/Noida/Koncept-Automobile-Noida-Sector-63/011PXX11-XX11-240209220244-V1K2_BZDET/reviews | http://www.konceptmahindra.com/outlet/mahindra-showroom-in-noida.html | https://dealers-auto.mahindra.com/mahindra-koncept-automobiles-pvt-ltd-sector-63-car-dealer-sector-63-noida-472017/Contact-Us | http://www.konceptmahindra.com/outlet/showroom-sector---63-noida.html,noida,commercial,82,A
Krishna Furniture,furniture showroom,"Badshahpur Sohna Road Highway, Near Vatika Chowk, adjoining Radha Krishna Mandir, Sector 69, Gurugram","Sector 69, Gurgaon",,,,,,,,,,,owner,,,,,,,,,https://wearegurgaon.com/best-furniture-stores-in-gurgaon/,gurgaon,commercial,82,A
MG Motor (Frontier Auto Showroom),car_dealership_showroom,"H Block, Sector 63, Near Electronic City Metro Station, Noida, Uttar Pradesh 201301",Sector 63,201301,,,+918047493150,,https://dealers.mgmotor.co.in/,4.6,947,,MG Motor car showroom,owner,y,,,0,,,,,https://dealers.mgmotor.co.in/mg-motor-frontier-auto-showroom-car-dealer-sector-63-noida-371833/Home | https://www.justdial.com/Noida/Mg-Motors-Noida-Noida-Sector-63/011PXX11-XX11-240405120224-H8V4_BZDET | https://dealers.mgmotor.co.in/mg-motor-frontier-auto-showroom-car-dealer-sector-63-noida-371833/Contact-Us,noida,commercial,82,A
MG Motor - Noida Extension (Embark Plaza),car_dealership_showroom,"Shop No 6 to 11, Embark Plaza, Plot No CH03, Sector 4, Greater Noida","Sector 4, Greater Noida West / Noida Extension",,,,,,,,,,,owner,,,,,[],,,,https://dealers.mgmotor.co.in/location/uttar-pradesh/greater-noida,gn_west,commercial,82,A
Magan Wheels (Tata Motors Cars Showroom),auto_dealership,"Sector 86, Faridabad, Haryana","Sector 86, Greater Faridabad",,,,,,,,,,,owner,,,,,,,,,https://dealer-locator.cars.tatamotors.com/tata-motors-cars-showroom-magan-wheels-faridabad-car-dealer-sector-86-faridabad-470984/Contact-Us,faridabad,commercial,82,A
Mahajan Electronics,electronics showroom,"Sohna Road, Gurgaon (established 1981)","Sohna Road, Gurgaon",,,,,,,4.8,4027,,,owner,,,,,,,,,https://www.justdial.com/Delhi/Mahajan-Electronics-Gurgaon/011PXX11-XX11-200831132216-A7U8_BZDET,gurgaon,commercial,82,A
Maruti Suzuki NEXA Showroom - Tikri (opp. Raheja Mall) [brand: Maruti Suzuki NEXA],car_dealership,"Khasra No-11/7/1/5, Revenue Estate, Village Tikri, Sector 48, Opposite Raheja Mall, Badshahpur Sohna Road Highway, Gurgaon","Sohna Road, Sector 48, Tikri",,,,,,,,,,,owner,,,,,[],,,,https://www.cardekho.com/Maruti/Gurgaon/cardealers,gurgaon,commercial,82,A
Pioneer One Honda (2-Wheeler),two_wheeler_dealership_showroom,"H-1A/11 (H-164), Sector 63, Behind Indian Oil Petrol Pump, Near Ginger Hotel, Noida, Uttar Pradesh 201301",Sector 63,201301,,,8130488666,,http://www.honda2wheelersindia.com,4.0,7887,,Honda two-wheeler showroom + service + spare parts,owner,y,,,0,,,,,https://www.justdial.com/Noida/Pioneer-One-Honda-Behind-Indian-Oil-Petrol-Pump-Near-Ginger-Hotel-H-Block-Noida-Sector-63/011PXX11-XX11-120123140543-I9W4_BZDET/reviews | https://www.mappls.com/jn9j7w,noida,commercial,82,A
Rana Motors NEXA Showroom,car_dealership_service,"Shop No. A-2, Golden-I, Plot No. 11, Techzone-4, Greater Noida West","Techzone-4, Greater Noida West",,,,+918062216249,,https://www.nexaofgoldenigrnoida.com/,,,,Maruti Suzuki NEXA authorised showroom (franchise),owner,yes,,,,[],,,,https://www.nexaofgoldenigrnoida.com/ | https://www.nexaofgoldenigrnoida.com/contact-us | https://www.cardekho.com/maruti/gautam-buddha-nagar/cardealers/rana-motors-nexa-greater-noida-279224.htm,gn_west,commercial,82,A
Renault Noida (Sector 63),car_dealership_showroom,"H-12, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,9289263619,crmsales.noida63@renault-india.com,,,,,Renault car showroom,owner,y,,,0,,,,,https://www.cardekho.com/Renault/Noida/cardealers | https://contactout.com/company/Renault-Noida-Sector-63-email-format-17437 | https://rocketreach.co/renault-noida-sector-63-profile_b47d4717fc4dca28,noida,commercial,82,A
Royal Enfield Showroom (Sector 62),two_wheeler_dealership_showroom,"Sector 62, Noida, Uttar Pradesh",Sector 62,,,,,,,4.1,27,,Royal Enfield showroom,owner,,,,0,,,,,https://magicpin.in/Noida/Sector-62/Other/Royal-Enfield-Showroom/store/320097/,noida,commercial,82,A
SBC Plaza,two_wheeler_dealer_service,"Vasundhara Sector 15, Ghaziabad",Vasundhara,,,,,,,,,,,owner,,,,,,,,,https://www.sulekha.com/bike-service-centers/vasundhara-ghaziabad,ghaziabad,commercial,82,A
SK Maruti (Maruti Suzuki Authorised Service Station),car_service_workshop,"C-2, Sector 63 Road, C Block, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,9837353600,skmarutinoida@gmail.com,https://skcogroup.com/,,,,Maruti Suzuki authorised service/workshop,owner,,,,0,,,,,https://www.justdial.com/Noida/Sk-Maruti-Near-HDFC-Bank-Noida-Sector-63/011PXX11-XX11-200205100630-E9Z8_BZDET | https://skcogroup.com/ | https://www.facebook.com/skmarutibsrnoida/ | https://www.justdial.com/Delhi/Sk-Maruti-Near-HDFC-Bank-Noida-Sector-63/011PXX11-XX11-200205100630-E9Z8_BZDET/reviews,noida,commercial,82,A
Spirited Auto Cars (Toyota),car_dealership_showroom,"Plot No E-62, Sector 62, Noida, Uttar Pradesh 201301",Sector 62,201301,,,08069514158,,,,,,Toyota car showroom,owner,y,,,0,,,,,https://www.justdial.com/Delhi/Car-Dealers-Toyota-in-Noida-Sector-62/nct-10076184,noida,commercial,82,A
TVS - Maharaja Motors,two-wheeler dealership / authorised service workshop,"Maharaja Bhawan, Near LG Showroom, Bhangel, Sector 110, Noida, Uttar Pradesh","Bhangel, Sector 110",,,,,,https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Home,,,,,owner,,,,,,,,,https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Home | https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Contact-Us,noida,commercial,82,A
"TVS - Maharaja Motors (Bhangel, Sector 110)",two_wheeler_dealership_showroom,"Maharaja Bhawan, Near LG Showroom, Bhangel, Sector 110, Noida, Uttar Pradesh",Sector 110,,,,8929833936,,https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Home,4.7,3,,TVS two-wheeler showroom + service,owner,y,,,0,,,,,https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Home | https://www.justdial.com/Noida/Maharaja-TVS-Opposite-L-G-Showroom-Bhange-Noida-Sector-110/011PXX11-XX11-240408131742-L6B3_BZDET | https://dealers.tvsmotor.com/tvs-motors/tvs-maharaja-motors-two-wheeler-dealer-bhangel-sector-110-noida-254436/Contact-Us,noida,commercial,82,A
TVS - Uttam Automobiles,two-wheeler dealership & service workshop,"Mathura Main Road, Sector 19, Faridabad","Sector 19, Faridabad",,,,,,,,,,,owner,,,,,,,,,https://dealers.tvsmotor.com/tvs-motors/tvs-uttam-automobiles-two-wheeler-dealer-mathura-main-road-faridabad-134166/Contact-Us,faridabad,commercial,82,A
"Uma Riders (Royal Enfield Authorised Sales, Service and Parts)",two_wheeler_dealership_showroom,"A-60C, Ground Floor, A Block / H-1A-09, Sector 63 Road, Sector 63, Noida, Uttar Pradesh 201301",Sector 63,201301,,,8291201496,,https://dealers.royalenfield.com/uttar-pradesh/noida/sector-63-road-noida-uma-riders-9110133370,4.6,1567,,Royal Enfield showroom + authorised service + parts,owner,y,,,0,,,,,https://www.justdial.com/Noida/Uma-Riders-Royal-Enfield-Authorised-Sales-Service-and-Parts-Near-Electronic-City-Metro-Station-Gate-No-Noida-Sector-63/011PXX11-XX11-230412143824-W9Y7_BZDET | https://www.royalenfield.com/in/en/locate-us/dealers/uma_riders_pvt_ltd/,noida,commercial,82,A
Uttam Toyota,car_dealership_showroom,"H-3, Hapur Bypass Road, Sector 63, Noida, Uttar Pradesh 201304",Sector 63,201304,,,9810941000,,http://www.uttamtoyota.in/,4.2,4562,,Toyota car showroom + workshop,owner,y,,,0,,,,,https://www.justdial.com/Delhi/Uttam-Toyota-Noida-Sector-63/011PXX11-XX11-090921164317-W7X6_BZDET/reviews | http://www.uttamtoyota.in/outlet/showroom-sector-62-noida.html,noida,commercial,82,A
