name,category,address,locality,pincode,lat,lng,phone,email,website,google_rating,review_count,first_review_year,size_proxy,owner_or_chain,standalone_building,amenity_power_backup,maintenance_rate,outage_keyword_hits,outage_quotes,solar_visible,fm_company,rera_id,source_urls,corridor,icp,score,tier
Omaxe Heights,housing_society,,"Sector 86, Faridabad",,,,,,,,,,flats=1654; towers=32; floors=9,,,Full,,0,[],,,,https://www.squareyards.com/faridabad-residential-property/omaxe-heights/472/project | https://www.99acres.com/omaxe-heights-sector-86-faridabad-npxid-r16598 | https://www.omaxe.com/residential-property-in-faridabad/omaxe-heights-4bhk | https://www.commercialproperty.review/index.php/2020/11/10/top-10-best-high-rise-residential-societies-for-living-in-faridabad/,faridabad,society,60,B
RPS Savana,housing_society,,"Sector 88, Faridabad",,,,,,,,,,flats=2300; towers=27; floors=17,,,Full,,0,[],,,,https://www.commonfloor.com/rps-savana-faridabad/povp-sh87d7 | https://www.squareyards.com/faridabad-residential-property/rps-savana/456/project | https://www.rpssavana.co.in/ | https://mygate.com/blog/neighbourhood/best-residential-societies-in-faridabad/,faridabad,society,60,B
Supertech Ecovillage 1,housing_society,,"Sector 1, Noida Extension, Greater Noida West",,,,,,,,,,flats=8037; towers=52; floors=19; possession=2023,Supertech Limited,false,"Full (lifts, water storage, waste disposal covered)",,0,[],,,,https://www.addressofchoice.com/supertech-ecovillage-sector-1-noida-extension-greater-noida-p68130 | https://www.investormart.co.in/Project-Supertech-Eco-Village-1.php | https://regrob.com/project/supertech-eco-village-1-noida-extension-noida/,gn_west,society,60,B
Saya Gold Avenue,housing_society,,"Vaibhav Khand, Indirapuram",,,,,,,,,,flats=1620; towers=8; floors=39,Saya Homes Pvt Ltd,No,Power Back-up listed as amenity; some resident reviews report insufficient/absent backup,"Rs 2500 (reported, unit basis unclear)",1,"['lack of amenities like fiber cable connection for wifi, electricity backup, and proper water supply']",,,,https://www.nestoria.in/saya-gold-avenue/property/sale | https://www.justdial.com/Delhi/Saya-Gold-Avenue-Opposite-Gate-No6-Of-Shipra-Suncity-Adjacent-to-Cisf-Camp-Vaibhav-Khand-Indirapuram/011PF000043_BZDET | https://www.squareyards.com/ghaziabad-residential-property/saya-gold-avenue/1266/project | https://www.mouthshut.com/projects/saya-gold-avenue-indirapuram-ghaziabad-reviews-925928805 | https://www.vikasjoshi.in/review-saya-gold-avenue-indirapuram/,ghaziabad,society,50,B
ATS Advantage,housing_society,,"Ahinsa Khand 1, Indirapuram",,,,,,https://atsindirapuram.com/,,,,flats=1554; towers=23,,No,24Hrs Backup Electricity (listed amenity),,0,[],,,,https://www.quikr.com/homes/project/ats-advantage+indirapuram+ghaziabad+1127 | https://www.commonfloor.com/ats-advantage-ghaziabad/povp-jan3fc | https://www.99acres.com/ats-advantage-resale-in-ahinsa-khand-1-ghaziabad-3392-npffid | https://www.squareyards.com/ghaziabad-residential-property/ats-advantage/3848/project | https://atsindirapuram.com/,ghaziabad,society,45,C
Adore Happy Homes Pride,housing_society,,Faridabad,,,,,,,,,,flats=796,,,,,0,[],,,,https://www.investoxpert.com/blog/top-10-best-residential-projects-in-faridabad,faridabad,society,45,C
Ajnara Integrity,housing_society,,Raj Nagar Extension,,,,,,,,,,flats=1800; towers=11; floors=13,,,24/7 power backup (24Hrs Backup Electricity listed),,0,[],,,UPRERAPRJ5025 (Phase I); UPRERAPRJ5634 (Phase II); UPRERAPRJ5611 (Phase III),https://www.commonfloor.com/ajnara-integrity-ghaziabad/povp-ua8gbc | https://www.squareyards.com/ghaziabad-residential-property/ajnara-integrity/3895/project | https://huntvastuhomes.com/ajnara-integrity-vastu-apartments-raj-nagar-extension-ghaziabad,ghaziabad,society,45,C
Amrapali Silicon City,housing_society,,"Sector 76, Noida",,,,,,,,,,towers=28; floors=16; flats=3029,Amrapali Group (NBCC-supervised completion),no,,,0,,,,,https://www.99acres.com/amrapali-silicon-city-sector-76-noida-npxid-r769 | https://www.apnacomplex.com/complex/amrapali-silicon-city,noida,society,45,C
Aurum Floors (South City 2),housing_society,,"Sector 49, Sohna Road, Gurgaon",,,,,,,,,,flats=375; towers=4,Unitech Limited,,,,,,,,,https://www.realestateindia.com/projects/project-south-city-2-by-unitech-limited-in-south-city-2-gurgaon/,gurgaon,society,45,C
BPTP Discovery Park,housing_society,,"Sector 80, Faridabad",,,,,,,,,,flats=882,,,,,0,[],,,,https://www.squareyards.com/blog/high-rise-societies-in-faridabad-dseart | https://www.commercialproperty.review/index.php/2020/11/10/top-10-best-high-rise-residential-societies-for-living-in-faridabad/ | https://www.indiainfo.net/d/housing-society-in-faridabad,faridabad,society,45,C
Central Park Resorts,housing_society,,"Sector 48, Sohna Road, Gurgaon",,,,,,https://centralparkresort.net.in/,,,,flats=1445; towers=16; floors=17,Central Park,,,,,,,,,https://www.squareyards.com/gurgaon-residential-property/central-park-resorts/106940/project,gurgaon,society,45,C
Crossings Apartments,housing_society,"Crossings Republik integrated township developed by Crossings Infrastructure Pvt Ltd (JV of Gaursons, Mahagun, Assotech and others)",Crossing Republik,,,,,,,,,,flats=1848; towers=9; floors=15,,,,,0,[],,,,https://www.99acres.com/crossings-apartments-crossing-republik-ghaziabad-npxid-r12526 | https://grokipedia.com/page/Crossings_Republik,ghaziabad,society,45,C
Express One,housing_society,,"Sector 14, Vasundhara",,,,,,,,,,flats=216; towers=3; floors=27,,,,,0,[],,,,https://mygate.com/blog/neighbourhood/best-societies-in-ghaziabad/,ghaziabad,society,45,C
GPL Eden Heights,housing_society,,"Sector 70, Gurgaon",,,,,,,,,,flats=582; towers=9; floors=16,GPL,,,,,,,,,https://www.99acres.com/gpl-eden-heights-sector-70-gurgaon-npxid-r27616,gurgaon,society,45,C
Homes 121,housing_society,,"Sector 121, Noida",,,,,,,,,,towers=21; floors=14; flats=1724,,no,,,0,,,,,https://www.99acres.com/homes-121-sector-121-noida-npxid-r664,noida,society,45,C
KW Srishti,housing_society,,Raj Nagar Extension,,,,,,https://www.kwgroup.in/kw-srishti,,,,flats=1505; towers=11,,,,,0,[],,,,https://www.kwgroup.in/kw-srishti | https://www.99acres.com/society-flats-apartments-in-raj-nagar-extension-ghaziabad-ffid,ghaziabad,society,45,C
Logix Blossom County,housing_society,,"Sector 137, Noida",,,,,,,,,,towers=18; floors=20; flats=1600,Logix Group,no,,,1,Power supply to Logix Blossom County in Noida Sector 137 cut over unpaid dues,,,,https://www.99acres.com/logix-blossom-county-sector-137-noida-npxid-r743 | https://www.msn.com/en-in/news/India/power-supply-to-logix-blossom-county-in-noida-sector-137-cut-over-unpaid-dues/ar-AA1BExBh | https://up-rera.in/ViewDocument?Param=ProjectSpecification-4466Project+Specification.pdf,noida,society,45,C
Mahagun Moderne,housing_society,,"Sector 78, Noida",,,,,,https://www.mahagunindia.com/project/mahagun-moderne/,,,,towers=17; floors=28; flats=2650,Mahagun India Pvt Ltd,no,,,0,,,,,https://property.sulekha.com/mahagun-moderne-in-sector-78-noida-268016113-pd | https://www.squareyards.com/noida-residential-property/mahagun-moderne/591/project | https://www.mahagunindia.com/project/mahagun-moderne/,noida,society,45,C
Mahagun Mywoods Phase 1,housing_society,,"Sector 16C, Greater Noida West",,,,,,,,,,flats=6158; towers=31; floors=28,Mahagun India Pvt. Ltd.,false,,,0,[],,,,https://ambak.com/projects/mahagunmywoods/f3d3395fde044d8f81a6a9b170d1ead7 | https://www.squareyards.com/greater-noida-residential-property/mahagun-mywoods/837/project | https://www.mahagunindia.com/project/mahagun-mywoods/mywoods-phase-i/,gn_west,society,45,C
Mehak Jeevan,housing_society,,Raj Nagar Extension,,,,,,https://www.mehakjeevan.com/,,,,flats=412; towers=3; floors=13,,,,,0,[],,,,https://www.mehakjeevan.com/,ghaziabad,society,45,C
Nandini The Vasundhara Grand,housing_society,,"Sector 15, Vasundhara",,,,,,,,,,flats=312; towers=2,,,,,0,[],,,,https://www.squareyards.com/ghaziabad-residential-property/nandini-the-vasundhara-grand/87175/project,ghaziabad,society,45,C
Nirala Estate Phase 2,housing_society,,"Techzone 4, Greater Noida West",,,,,,,,,,flats=544; towers=5; floors=24; possession=2023,Nirala World,false,,,0,[],,,,https://www.99acres.com/nirala-estate-phase-2-techzone-4-greater-noida-west-greater-noida-npxid-r328277 | https://www.99acres.com/nirala-estate-phase-2-facilities-techzone-4-greater-noida-west-npxid-r328277,gn_west,society,45,C
Panchsheel Greens 2,housing_society,,"Sector 16, Greater Noida West / Noida Extension",,,,,,,,,,flats=4216; towers=28,Panchsheel Group,false,,,0,[],,,,https://property.regrob.com/panchsheel-greens-2-noida-extension/ | https://www.99acres.com/panchsheel-greens-2-sector-16-greater-noida-npxid-r1084 | https://www.panchsheelgroup.com/project/greens-two/,gn_west,society,45,C
Parsvnath Srishti,housing_society,,"Sector 93, Noida",,,,,,,,,,flats=250,Parsvnath,no,,,0,,,,,https://www.99acres.com/parsvnath-srishti-sector-93-noida-npxid-r28144,noida,society,45,C
Puri The Pranayam,housing_society,,"Sector 82, Faridabad",,,,,,,,,,flats=918; towers=22,,,,,0,[],,,,https://www.99acres.com/puri-the-pranayam-sector-82-faridabad-npxid-r16182 | https://www.squareyards.com/faridabad-residential-property/puri-the-pranayam/185886/project | https://www.realestateindia.com/projects/puri-pranayam-by-puri-constructions-private-limited-in-sector-82-faridabad-pjid-2651/ | https://mygate.com/blog/neighbourhood/best-residential-societies-in-faridabad/,faridabad,society,45,C
Ramprastha Imperial Heights,housing_society,,Indirapuram,,,,,,,,,,flats=456; possession=2025,,,,,0,[],,,,https://www.99acres.com/society-flats-apartments-in-indirapuram-ghaziabad-ffid,ghaziabad,society,45,C
Riseonic Solitaire (Solitaire 70),housing_society,,"Sector 70, Gurgaon",,,,,,,,,,flats=856; towers=8; floors=14,Riseonic Realty,,,,,,,,,https://www.99acres.com/riseonic-solitaire-sector-70-gurgaon-npxid-r399412,gurgaon,society,45,C
Shipra Srishti,housing_society,,"Ahinsa Khand 1, Indirapuram",,,,,,,,,,flats=744; towers=13; floors=14,,No,,,0,[],,,,https://mygate.com/blog/neighbourhood/best-societies-in-ghaziabad/ | https://www.99acres.com/society-flats-apartments-in-indirapuram-ghaziabad-ffid,ghaziabad,society,45,C
Signature Global City 93,housing_society,,"Sector 93, Gurgaon",,,,,,,,,,flats=996; possession=2027,Signature Global,,,,,,,,GGM/682/414/2023/26,https://www.99acres.com/signature-global-city-93-sector-93-gurgaon-npxid-r404456,gurgaon,society,45,C
South City 2 (Unitech South City II),housing_society,"South City - 2, Sector 49, Gurgaon, Haryana","Sector 49, Sohna Road, Gurgaon",122018,,,,,,,,,flats=1292,Unitech Limited,,,,,,,,,https://mygate.com/blog/neighbourhood/south-city-2/ | https://laburnumdevelopers.com/portfolio/south-city-2-gurgaon/,gurgaon,society,45,C
Supertech ORB,housing_society,,"Sector 74, Noida",,,,,,,,,,towers=3; floors=46; flats=650,Supertech,no,,,0,,,,,https://www.99acres.com/supertech-orb-sector-74-noida-npxid-r1277,noida,society,45,C
Gaur City 2 - 14th Avenue,housing_society,,"Sector 16C, Greater Noida West",,,,,,,,,,possession=2019,Gaursons India,false,,,0,[],,,,https://www.squareyards.com/greater-noida-residential-property/gaur-city-2-14th-avenue/890/project | https://www.investormart.co.in/Project-Gaur-City-2-14th-Avenue.php | https://realtyassistant.in/property/gaur-city-14th-avenue-noida-extension-greater-noida-west,gn_west,society,40,C
BPTP Parklands,housing_society,,"Sector 75-89, Greater Faridabad",,,,,,,,,,,BPTP,No,,,3,"['Power outages disrupt daily life, especially for working professionals and students in a high-cost township.', 'common electrical cabling will be provided from each plot to the designated DG & transformer within each District, with DG cost, operation and maintenance cost to be borne by the RWA', 'residents report receiving monthly bills but are unable to contact the company; the online portal has been unable to register for many months/years']",,BPMS (Business Park Maintenance Service),,https://www.consumercomplaints.in/bptp-b104679 | http://www.myfaridabad.in/forum/demand-of-maintenance-charges-by-bptp-t1528.html | https://www.inventiva.co.in/trends/faridabads-bptp-residents-erupt-in-protest-a-decade-of-broken-promises-collapsing-infrastructure-and-relentless-exploitation-by-the-builder/ | https://mybpms.in/,faridabad,society,35,C
Jaypee Greens Kalypso Court,housing_society,,"Sector 128, Noida",,,,,,,,,,,Jaypee Greens (Jaiprakash Associates),no,Full,,0,,,,UPRERAPRJ4695,https://www.nobroker.in/jaypee-greens-kalypso-court-sector-128_noida-prjt-8a9fe183886baff101886be714e91f9e | https://www.99acres.com/jaypee-greens-kalypso-court-reviews-ratings-sector-128-noida-npxid-r303 | https://www.squareyards.com/noida-residential-property/jaypee-kalypso-court/21394/project,noida,society,35,C
ABA Olive County,housing_society,,"Sector 5, Vasundhara",,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/property-in-sector-5-vasundhara-ghaziabad-ffid,ghaziabad,society,20,C
ACE Parkway,housing_society,,"Sector 150, Noida",,,,,,,,,,,Ace Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-150-noida-ffid | https://www.investoxpert.com/blog/top-10-best-residential-projects-in-sector-150-noida,noida,society,20,C
ATS Greens Village,housing_society,,"Sector 93A, Noida",,,,,,,,,,,ATS Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-93-a-noida-ffid,noida,society,20,C
ATS Haciendas,housing_society,,"Vaibhav Khand, Indirapuram",,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/2-bhk-society-flats-apartments-in-indirapuram-ghaziabad-ffid,ghaziabad,society,20,C
ATS Happy Trails,housing_society,,"Sector 10, Greater Noida West",,,,,,,,,,,ATS Infrastructure,,,,0,[],,,,https://propflix.in/blog/top-10-societies-in-greater-noida-west/,gn_west,society,20,C
ATS Pious Hideaways,housing_society,,"Sector 150, Noida",,,,,,,,,,,ATS Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-150-noida-ffid,noida,society,20,C
ATS Pious Orchards,housing_society,,"Sector 150, Noida",,,,,,,,,,,ATS Group,,,,0,,,,,https://www.investoxpert.com/blog/top-10-best-residential-projects-in-sector-150-noida,noida,society,20,C
Ace City,housing_society,,"Sector 1, Greater Noida West",,,,,,,,,,,ACE Group,,,,0,[],,,,https://www.99acres.com/ace-city-sector-1-greater-noida-west-greater-noida-npxid-r5382 | https://acegroupindia.com/ace-city-walkthrough.php,gn_west,society,20,C
Ace Divino,housing_society,,"Sector 1, Greater Noida West",,,,,,,,,,,ACE Group,,,,0,[],,,,https://www.ace-divino.com/ | https://www.360propguide.com/projects/ace-divino | https://www.justdial.com/real-estate/project/Ace-Divino-Noida/prid-622230d98f6aecd6830c6862,gn_west,society,20,C
Aditya Celebrity Homes,housing_society,,"Sector 76, Noida",,,,,,,,,,,Aditya Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-76-noida-ffid,noida,society,20,C
Ajnara Ambrosia,housing_society,,"Sector 118, Noida",,,,,,,,,,,Ajnara Group,,,,0,,,,,https://www.srpropzone.com/2020/12/sector-112-113-114-115-116-117-118.html,noida,society,20,C
Ajnara Daffodil,housing_society,,"Sector 137, Noida",,,,,,,,,,,Ajnara Group,,,,0,,,,,https://www.99acres.com/sector-137-noida-overview-piffid,noida,society,20,C
Ajnara Klock Tower,housing_society,,"Sector 74, Noida",,,,,,,,,,,Ajnara Group,,,,0,,,,,https://www.noidabusinessguide.com/sector-74-noida/,noida,society,20,C
Aloha,housing_society,,"Sector 57, Gurgaon",,,,,,,,,,,,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
Alpha Corp GurgaonOne 84,housing_society,,"Sector 84, Gurgaon",,,,,,,,,,,Alpha Corp,,,,,,,,,https://www.99acres.com/society-flats-apartments-in-sector-84-gurgaon-ffid,gurgaon,society,20,C
Amrapali Crystal Homes,housing_society,,"Sector 76, Noida",,,,,,,,,,,Amrapali Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-76-noida-ffid,noida,society,20,C
Amrapali HeartBeat City,housing_society,,"Sector 107, Noida",,,,,,,,,,,Amrapali Group,,,,0,,,,,https://www.99acres.com/property-in-sector-107-noida-ffid,noida,society,20,C
Amrapali Princely Estate,housing_society,,"Sector 76, Noida",,,,,,,,,,,Amrapali Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-76-noida-ffid,noida,society,20,C
Anand Vilas Society,housing_society,,Faridabad,,,,,,,,,,,,,,,1,"[""residents of Anand Vilas Society in Faridabad have experienced power outages for over 24 hours, with outages occurring every one to two weeks, attributed to the builder's negligence""]",,,,https://www.localcircles.com/a/public/post/power-breakdown-in-sector-37-faridabad/570842cy | https://www.scribd.com/document/899815800/Power-Outage-in-Faridabad,faridabad,society,20,C
Angel Jupiter,housing_society,,"Ahinsa Khand 2, Indirapuram",,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/2-bhk-society-flats-apartments-in-indirapuram-ghaziabad-ffid,ghaziabad,society,20,C
Antriksh Golf View,housing_society,,"Sector 78, Noida",,,,,,,,,,,Antriksh Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-78-noida-ffid,noida,society,20,C
Antriksh Heights,housing_society,,"Sector 84, Gurgaon",,,,,,,,,,,Antriksh Group,,,,,,,,,https://www.99acres.com/society-flats-apartments-in-sector-84-gurgaon-ffid,gurgaon,society,20,C
Apex D Rio,housing_society,,"Ahinsa Khand 2, Indirapuram",,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/2-bhk-society-flats-apartments-in-indirapuram-ghaziabad-ffid,ghaziabad,society,20,C
Ashoka Greens,housing_society,,"Sector 1, Greater Noida West",,,,,,,,,,,,,,,0,[],,,,https://www.bricksnwall.com/Ashoka-Greens,gn_west,society,20,C
Assotech Windsor Court,housing_society,,"Sector 78, Noida",,,,,,,,,,,Assotech,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-78-noida-ffid,noida,society,20,C
BPTP Freedom Park Life,housing_society,,"Sector 57, Gurgaon",,,,,,,,,,,BPTP Ltd,,,,1,Resident reported being charged Rs 12.16 per unit for power back-up (DG charge),,,,https://groups.google.com/g/gurgaon-rwa-forum/c/ae_hYsrs_fg,gurgaon,society,20,C
BPTP Park Arena,housing_society,,Faridabad,,,,,,,,,,,,,,,0,[],,,,https://www.investoxpert.com/blog/top-10-best-residential-projects-in-faridabad | https://sarvome.com/2024/08/16/top-10-residential-projects-in-faridabad-to-consider-in-2024/,faridabad,society,20,C
BPTP Parklands Villa,housing_society,,"Neharpar, Greater Faridabad",,,,,,,,,,,,,,,0,[],,,,https://www.reeltor.com/faridabad/best-residential-society-in-neharpar-faridabad,faridabad,society,20,C
Bestech Park View City,housing_society,,"Sector 48, Sohna Road, Gurgaon",,,,,,,,,,,Bestech,,,,,,,,,https://www.99acres.com/sector-48-gurgaon-overview-piffid,gurgaon,society,20,C
Bhavya Apartments Vaishali,housing_society,,"Sector 4, Vaishali",,,,,,,,,,,,,,,0,[],,,,https://www.squareyards.com/sale/apartments-for-sale-in-vaishali-sector-4-ghaziabad,ghaziabad,society,20,C
Capital Apartment,housing_society,,Vasundhara Enclave,,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/capital-apartment-vasundhara-enclave-east-delhi-npxid-r78471,ghaziabad,society,20,C
Charms Castle,housing_society,,Raj Nagar Extension,,,,,,,,,,,,,,,0,[],,,,https://houseeazy.com/blog/top-5-societies-ready-to-move-in-homes-in-raj-nagar-extension-ghaziabad,ghaziabad,society,20,C
Civitech Florencia,housing_society,,Vaishali,,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/society-flats-apartments-in-vaishali-ghaziabad-ffid,ghaziabad,society,20,C
County (Sector 1),housing_society,,"Sector 1, Noida Extension, Greater Noida West",,,,,,,,,,,County Group,,,,0,[],,,,https://vocal.media/families/grand-launch-of-county-sector-1-noida-extension-3-and-4-bhk-homes-now-available,gn_west,society,20,C
County 107,housing_society,,"Sector 107, Noida",,,,,,https://county107residential.com/,,,,,,,,,0,,,,,https://www.99acres.com/property-in-sector-107-noida-ffid | https://county107residential.com/,noida,society,20,C
DLF Crest,housing_society,,"Sector 53, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
DLF Magnolias,housing_society,,"Sector 54, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
DLF Park Place,housing_society,,"Sector 54, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
DLF Princeton Estate,housing_society,,"Sector 53, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
DLF The Belaire,housing_society,,"Sector 54, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
DLF The Summit,housing_society,,"Sector 54, Gurgaon",,,,,,,,,,,DLF Limited,,,,,,,,,https://www.sapientrealty.com/residential-colonies-in-gurgaon/,gurgaon,society,20,C
Disha Co-Operative Housing Group Society,housing_society,,Faridabad,,,,,,,,,,,,,,,0,[],,,,https://www.indiainfo.net/d/housing-society-in-faridabad,faridabad,society,20,C
E Homes,housing_society,,Vaishali,,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/society-flats-apartments-in-vaishali-ghaziabad-ffid,ghaziabad,society,20,C
Ecotech Village 1 Society,housing_society,,"Bisrakh, Greater Noida West",,,,,,,,,,,,,,,1,"['In June 2025, residents at Ecotech Village 1 Society in the Bisrakh area approached the maintenance office to complain about frequent power cuts, which led to an altercation with maintenance staff.']",,,,https://www.deccanherald.com/amp/story/india%2Futtar-pradesh%2F4-held-after-video-showing-maintenance-staff-thrashing-residents-in-greater-noida-society-3605650,gn_west,society,20,C
Eldeco Aamantran,housing_society,,"Sector 119, Noida",,,,,,https://eldecogroup.com/projects/residential/ncr-delhi/noida/completed/eldeco-aamantran/overview,,,,,Eldeco Group,,,,0,,,,,https://eldecogroup.com/projects/residential/ncr-delhi/noida/completed/eldeco-aamantran/overview,noida,society,20,C
Eldeco Live By The Greens,housing_society,,"Sector 150, Noida",,,,,,,,,,,Eldeco Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-150-noida-ffid,noida,society,20,C
Eldeco Utopia,housing_society,,"Sector 93, Noida",,,,,,,,,,,Eldeco Group,,,,0,,,,,https://www.99acres.com/society-flats-apartments-in-sector-93-noida-ffid | https://www.99acres.com/society-flats-apartments-in-sector-93-a-noida-ffid,noida,society,20,C
Emaar MGF Emerald Floors Premier,housing_society,,"Sector 65, Gurgaon",,,,,,,,,,,Emaar MGF,,,,,,,,,https://www.99acres.com/society-flats-apartments-in-sector-65-gurgaon-ffid,gurgaon,society,20,C
Emaar Marbella,housing_society,,"Sector 66, Gurgaon",,,,,,,,,,,Emaar MGF,,,,,,,,,https://www.rightsolutions.co.in/blog/most-expensive-societies-in-gurgaon-best-posh-areas,gurgaon,society,20,C
Exotica Fresco,housing_society,,"Sector 137, Noida",,,,,,,,,,,Exotica Housing,,,,0,,,,,https://www.99acres.com/sector-137-noida-overview-piffid,noida,society,20,C
Express Green Apartment,housing_society,,"Sector 1, Vaishali",,,,,,,,,,,,,,,0,[],,,,https://www.99acres.com/society-flats-apartments-in-vaishali-ghaziabad-ffid,ghaziabad,society,20,C
